internal_key,seller,option_url_ok,price_confirmed,stock_confirmed,dims_confirmed,storage_type_confirmed,delivery_confirmed,conditional_costs_unknown_ok,policy_summaries_present,review_sample_n,repeated_risks,image_rights,blocking_issues,reviewer,reviewed_at
hanssem-411762-ss-standard-color-unverified,한샘몰,yes(브라우저 확인),yes(252900),yes(in_stock),yes(116 x 206.2 x 91.2),yes(없음),yes(1~10일 / 설치비 포함),yes,yes,10,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
hanssem-505285-ss-front-storage-color-unverified,한샘몰,yes(브라우저 확인),yes(359900),yes(in_stock),yes(116 x 220.4 x 100.4),yes(없음),yes(1~10일 / 설치비 포함),yes,yes,10,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
hanssem-724132-ss-type-a-natural-oak,한샘몰,yes(브라우저 확인),yes(369000),yes(in_stock),yes(116 x 214.7 x 91.2),yes(없음),yes(1~10일 / 설치비 포함),yes,yes,10,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
zinus-1000000217-ss-no-install,지누스,yes(브라우저 확인),yes(205000),no(out_of_stock),yes(113 x 206 x 105),yes(하부오픈),yes(1~3일 / 직접 조립),yes,yes,0,none,unverified(비움),공식 옵션 API에서 SS 미설치 옵션 재고 0과 판매 불가 상태를 확인해 품절로 제외합니다.,codex-official-source-audit-2026-07-21,2026-07-21
zinus-1000001084-min-option-unverified,지누스,yes(브라우저 확인),yes(499000),yes(in_stock),yes(116 x 235.5 x 105),yes(막힘),yes(3~10일 / 설치비 포함),yes,yes,10,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
zinus-1000001082-min-option-unverified,지누스,yes(브라우저 확인),yes(374000),yes(in_stock),yes(116 x 208.1 x 102),yes(막힘),yes(3~10일 / 설치비 포함),yes,yes,10,drawer_awkward,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
ace-BRA1432-ss-regular-oak,에이스침대,yes(브라우저 확인),yes(543720),yes(in_stock),yes(114 x 209.9 x 89.8),yes(없음),yes(10~15일 / 설치비 포함),yes,yes,2,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
ace-BRA1437-ss-walnut-natural,에이스침대,yes(브라우저 확인),yes(877680),yes(in_stock),yes(114 x 213.3 x 100.8),yes(없음),yes(10~15일 / 설치비 포함),yes,yes,0,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
sofsys-6117-ss-white,소프시스,yes(브라우저 확인),yes(110900),no(out_of_stock),yes(110 x 203 x 18.5),yes(하부오픈),yes(1~3일 / 유료 설치 30000원),yes,yes,6,none,unverified(비움),공식 옵션 선택에서 SS는 품절이고 Q만 구매 가능해 공개에서 제외합니다. 공식 리뷰 6건을 확인했습니다.,codex-official-source-audit-2026-07-21,2026-07-21
sofsys-6910-ss-oak-platform,소프시스,yes(브라우저 확인),yes(142900),yes(in_stock),yes(110.5 x 204 x 9),yes(막힘),yes(3~7일 / 직접 조립),yes,yes,0,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
sofsys-6827-ss-organic-set,소프시스,yes(브라우저 확인),yes(346900),yes(in_stock),yes(110 x 203 x 39),yes(하부오픈),yes(1~3일 / 직접 조립),yes,yes,0,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
sofsys-6829-ss-basic-set,소프시스,yes(브라우저 확인),yes(282900),yes(in_stock),yes(110 x 203 x 39.5),yes(하부오픈),yes(1~3일 / 직접 조립),yes,yes,0,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
englander-2640-ss-mdf-platform,잉글랜더,yes(브라우저 확인),yes(179000),yes(in_stock),yes(120 x 207 x 80),yes(막힘),yes(7~15일 / 설치비 포함),yes,yes,10,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
englander-3494-ss-merbau-platform,잉글랜더,yes(브라우저 확인),yes(179000),yes(in_stock),yes(120 x 207 x 80),yes(막힘),yes(7~15일 / 설치비 포함),yes,yes,10,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
englander-5289-ss-storage-oak,잉글랜더,yes(브라우저 확인),yes(329000),yes(in_stock),yes(114.5 x 214.5 x 101),yes(서랍),yes(7~15일 / 설치비 포함),yes,yes,10,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
englander-5357-ss-storage-walnut,잉글랜더,yes(브라우저 확인),yes(349000),yes(in_stock),yes(115 x 214.5 x 101),yes(서랍),yes(7~15일 / 설치비 포함),yes,yes,10,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
englander-5470-ss-storage-tambour,잉글랜더,yes(브라우저 확인),yes(309000),yes(in_stock),yes(114.5 x 214 x 100.5),yes(서랍),yes(7~15일 / 설치비 포함),yes,yes,10,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
marketb-6675-ss-daybed-pine,마켓비,yes(브라우저 확인),yes(225000),yes(in_stock),yes(119 x 210 x 65),yes(하부오픈),yes(1일 / 유료 설치 39000원),yes,yes,10,assembly_hard|finish_poor|manual_poor|missing_parts,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
marketb-26956-ss-fabric-delta,마켓비,yes(브라우저 확인),yes(330000),yes(in_stock),yes(118 x 206 x 99),yes(하부오픈),yes(1일 / 유료 설치 40000원),yes,yes,1,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
marketb-40844-ss-fabric-nersen,마켓비,yes(브라우저 확인),yes(339000),yes(in_stock),yes(121.5 x 222 x 106.5),yes(하부오픈),yes(1일 / 유료 설치 29000원),yes,yes,0,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
marketb-39151-ss-drawer-ondor,마켓비,yes(브라우저 확인),yes(1090000),yes(in_stock),yes(112 x 217 x 101),yes(서랍),yes(1~3일 / 설치비 포함),yes,yes,0,none,unverified(비움),,codex-official-source-audit-2026-07-21,2026-07-21
