상품키_수정금지,판매처,상품명_참고,상품페이지_참고,옵션페이지열림_예아니오,현재가격원_숫자,재고_판매중품절확인불가,완성외경_가로x길이x높이cm,수납방식_없음서랍리프트하부오픈막힘확인불가,배송설치_확인내용,조건부비용_unknown처리_예아니오,반품파손보증_3종확인_예아니오,리뷰출처URL,리뷰표본수_0에서10,리뷰재검수수,반복위험_없음또는내용,이미지사용권_확인미확인,공개차단이슈_없으면공란,검수자,재검수자,검수일_YYYY-MM-DD,공개가능_예아니오
hanssem-411762-ss-standard-color-unverified,한샘몰,샘베딩 플레인 침대 SS 슈퍼싱글 일반형(매트별도),https://store.hanssem.com/goods/411762,예,252900,판매중,확인불가,없음,확인불가,예,아니오,,0,0,없음,미확인,치수·색상·배송비·정책·하부구조 미확보; 리뷰 표본(평점 4.8/412); 브라우저 재검수 필수,gpt-5.6-terra-dynamic,,2026-07-21,아니오
hanssem-505285-ss-front-storage-color-unverified,한샘몰,샘베딩 플레인 전면수납 침대 SS(매트별도),https://store.hanssem.com/goods/505285,예,359900,판매중,확인불가,확인불가,확인불가,예,아니오,,0,0,없음,미확인,전면수납 세부 분류·치수·색상·배송비·정책 미확보; 리뷰 표본(평점 4.8/30); 브라우저 재검수 필수,gpt-5.6-terra-dynamic,,2026-07-21,아니오
hanssem-724132-ss-type-a-natural-oak,한샘몰,호텔침대 포엠 침대 SS(매트별도),https://mall.hanssem.com/goods/goodsDetailMall.do?gdsNo=724132,예,369000,판매중,115.6 x 214.7 x 91.2,없음,초안 시공설치,예,아니오,,0,0,없음,미확인,가격 하락(436000→369000) 반영; 외경/소재/설치는 7/12 관측 유지(오늘 JS 셸로 재확인 불가); 배송비·정책·리뷰 표본 필요,gpt-5.6-terra-dynamic,,2026-07-21,아니오
zinus-1000000217-ss-no-install,지누스,폴 침대 프레임,https://www.zinus.co.kr/goods/goods_view.php?goodsNo=1000000217,예,205000,확인불가,113 x 206 x 105,하부오픈,택배 무료; 기간 미표기,예,예,,0,0,없음,미확인,availability 확정·배송기간·리뷰 표본·이미지 권리. 소재는 페이지 '소나무 원목'(초안 아카시아와 상이) 재확인 권장,gpt-5.6-terra-core,,2026-07-21,아니오
zinus-1000001084-min-option-unverified,지누스,루미 선반형 수납침대 프레임,https://www.zinus.co.kr/goods/goods_view.php?goodsNo=1000001084,예,499000,확인불가,확인불가,확인불가,설치배송만; 사다리차 조건부,예,아니오,,0,0,없음,미확인,옵션 조합별 확정가·완성 외경·수납유형·보증·availability·리뷰 표본 필요,gpt-5.6-terra-core,,2026-07-21,아니오
zinus-1000001082-min-option-unverified,지누스,루미 슬림 헤드보드형 수납침대 프레임,https://www.zinus.co.kr/goods/goods_view.php?goodsNo=1000001082,예,374000,확인불가,확인불가,확인불가,설치배송만; 사다리차 조건부,예,아니오,,0,0,없음,미확인,옵션 조합별 확정가·완성 외경·수납유형·보증·availability·리뷰 표본 필요,gpt-5.6-terra-core,,2026-07-21,아니오
ace-BRA1432-ss-regular-oak,에이스침대,BRA1432 프레임,https://acebedmall.co.kr/front/goods/goodsDetail.do?goodsNo=G2202221008_2340,예,543720,확인불가,114.0 x 209.9 x 89.8,없음,무료배송; 도서산간 조건부 20000~150000,예,아니오,,0,0,없음,미확인,availability·배송비 지역별·반품/보증 요약·리뷰 표본·이미지 권리. 가격/치수는 오늘 확인 완료,gpt-5.6-terra-core,,2026-07-21,아니오
ace-BRA1437-ss-walnut-natural,에이스침대,BRA1437 프레임,https://acebedmall.co.kr/front/goods/goodsDetail.do?goodsNo=G1707191227_1004,예,877680,확인불가,114.0 x 213.3 x 100.8,없음,무료배송; 도서산간 조건부,예,아니오,,0,0,없음,미확인,availability·배송비 지역별·반품/보증 요약·리뷰 표본·이미지 권리. 가격/치수는 오늘 확인 완료,gpt-5.6-terra-core,,2026-07-21,아니오
sofsys-6117-ss-white,소프시스,심플 침대 프레임 SS/Q,https://sofsys.co.kr/product/detail.html?product_no=6117,예,110900,확인불가,확인불가,확인불가,"1~3일, 택배 무료, 제주 불가, 고객 직접 조립; 일부 수도권 설치 30,000원",예,예,,0,0,없음,미확인,"외경·수납구조·배송기간 미확인; SS옵션 판매가만 확인, 설치비 미확인",gpt-5.6-terra-new,,2026-07-21,아니오
sofsys-6910-ss-oak-platform,소프시스,E0등급 포근 저상형 우드 침대 프레임 SS/Q 평상형,https://sofsys.co.kr/product/detail.html?product_no=6910,예,142900,확인불가,확인불가,막힘,"3~7일, 배송비 20,000원, 일부 지역 불가, 고객 직접 조립",예,예,,0,0,없음,미확인,외경·배송기간 미확인; 평상형=closed_base 확인,gpt-5.6-terra-new,,2026-07-21,아니오
sofsys-6827-ss-organic-set,소프시스,포근 슬립 오가닉 침대 세트 SS/Q (프레임+매트리스),https://sofsys.co.kr/product/detail.html?product_no=6827,예,346900,확인불가,확인불가,확인불가,"1~3일, 착불 30,000원, 제주 불가, 고객 직접 조립",예,예,,0,0,없음,미확인,세트(프레임+매트); 프레임 종류별 수납·외경·배송기간 미확인,gpt-5.6-terra-new,,2026-07-21,아니오
sofsys-6829-ss-basic-set,소프시스,포근 슬립 베이직 침대 세트 SS/Q (프레임+매트리스),https://sofsys.co.kr/product/detail.html?product_no=6829,예,282900,확인불가,확인불가,확인불가,"1~3일, 착불 30,000원, 제주 불가, 고객 직접 조립",예,예,,0,0,없음,미확인,세트(프레임+매트); 프레임 종류별 수납·외경·배송기간 미확인,gpt-5.6-terra-new,,2026-07-21,아니오
englander-2640-ss-mdf-platform,잉글랜더,잉글랜더 마네 평상형 침대 SS (매트제외),https://englander.co.kr/goods/goods_view.php?goodsNo=2640,예,179000,확인불가,확인불가,막힘,yes,예,예,,0,0,없음,미확인,배송비 지역조건부(수도권무료/지방착불) 미확정; 외경 미확인,gpt-5.6-terra-new,,2026-07-21,아니오
englander-3494-ss-merbau-platform,잉글랜더,잉글랜더 피칸 멀바우 평상형 침대 SS 프레임,https://englander.co.kr/goods/goods_view.php?goodsNo=3494,예,179000,확인불가,확인불가,막힘,yes,예,예,,0,0,없음,미확인,배송비 착불(상품별 상이) 미확정; 외경 미확인,gpt-5.6-terra-new,,2026-07-21,아니오
englander-5289-ss-storage-oak,잉글랜더,잉글랜더 헤븐 LED 원목 수납 침대 SS (매트제외),https://englander.co.kr/goods/goods_view.php?goodsNo=5289,예,329000,확인불가,확인불가,확인불가,yes,예,예,,0,0,없음,미확인,수납방식(서랍/리프트) 미확정; 배송비 착불; 외경 미확인,gpt-5.6-terra-new,,2026-07-21,아니오
englander-5357-ss-storage-walnut,잉글랜더,잉글랜더 캐슬 원목 호텔형 수납 침대 SS (매트제외),https://englander.co.kr/goods/goods_view.php?goodsNo=5357,예,349000,확인불가,확인불가,확인불가,yes,예,예,,0,0,없음,미확인,수납방식 미확정; 전지역 착불; 외경 미확인,gpt-5.6-terra-new,,2026-07-21,아니오
englander-5470-ss-storage-tambour,잉글랜더,잉글랜더 앙티브 템바보드 원목 수납 침대 SS (매트제외),https://englander.co.kr/goods/goods_view.php?goodsNo=5470,예,299000,확인불가,확인불가,확인불가,yes,예,예,,0,0,없음,미확인,수납방식 미확정; 배송비 조건부; 외경 미확인,gpt-5.6-terra-new,,2026-07-21,아니오
marketb-6675-ss-daybed-pine,마켓비,마켓비 SOLIDPINE 데이베드 원목침대 슈퍼싱글 110200 소나무,https://marketb.kr/product/detail.html?product_no=6675,예,225000,확인불가,확인불가,확인불가,"1일, 배송비 14,000원, 일부 지역 조립 39,000원",예,예,,0,0,없음,미확인,데이베드 legs_open 추정(미확정); 외경 미확인; 조립비 지역한정,gpt-5.6-terra-new,,2026-07-21,아니오
marketb-26956-ss-fabric-delta,마켓비,마켓비 델타 패브릭침대 슈퍼싱글 110200,https://marketb.kr/product/detail.html?product_no=26956,예,330000,확인불가,확인불가,확인불가,"1일, 무료배송, 일부 지역 조립 40,000원",예,예,,0,0,없음,미확인,패브릭 하부구조 미확정; 외경·배송기간 미확인; 조립비 지역한정,gpt-5.6-terra-new,,2026-07-21,아니오
marketb-40844-ss-fabric-nersen,마켓비,마켓비 네르센 조야 패브릭침대 슈퍼싱글 110200 아이보리,https://marketb.kr/product/detail.html?product_no=40844,예,339000,확인불가,확인불가,확인불가,"1일, 배송비 33,000원, 일부 지역 조립 29,000원",예,예,,0,0,없음,미확인,패브릭 하부구조 미확정; 외경·배송기간 미확인; 조립비 지역한정,gpt-5.6-terra-new,,2026-07-21,아니오
marketb-39151-ss-drawer-ondor,마켓비,마켓비 ONDOR 흙침대 서랍형 슈퍼싱글 110200 내추럴,https://marketb.kr/product/detail.html?product_no=39151,예,1090000,확인불가,확인불가,서랍,"1~3일, 전국 방문설치, 배송비 100,000원",예,예,,0,0,없음,미확인,서랍형=drawer 확인; 외경·배송기간 미확인; 흙침대(보료 구성) 특성 확인 필요,gpt-5.6-terra-new,,2026-07-21,아니오
